01	Uusimaa	018	Askola
01	Uusimaa	049	Espoo
01	Uusimaa	078	Hanko
01	Uusimaa	091	Helsinki
01	Uusimaa	092	Vantaa
01	Uusimaa	106	Hyvinkää
01	Uusimaa	149	Inkoo
01	Uusimaa	186	Järvenpää
01	Uusimaa	224	Karkkila
01	Uusimaa	235	Kauniainen
01	Uusimaa	245	Kerava
01	Uusimaa	257	Kirkkonummi
01	Uusimaa	407	Lapinjärvi
01	Uusimaa	434	Loviisa
01	Uusimaa	444	Lohja
01	Uusimaa	504	Myrskylä
01	Uusimaa	505	Mäntsälä
01	Uusimaa	543	Nurmijärvi
01	Uusimaa	611	Pornainen
01	Uusimaa	616	Pukkila
01	Uusimaa	638	Porvoo
01	Uusimaa	710	Raasepori
01	Uusimaa	753	Sipoo
01	Uusimaa	755	Siuntio
01	Uusimaa	858	Tuusula
01	Uusimaa	927	Vihti
02	Varsinais-Suomi	019	Aura
02	Varsinais-Suomi	202	Kaarina
02	Varsinais-Suomi	284	Koski Tl
02	Varsinais-Suomi	304	Kustavi
02	Varsinais-Suomi	322	Kemiönsaari
02	Varsinais-Suomi	400	Laitila
02	Varsinais-Suomi	423	Lieto
02	Varsinais-Suomi	430	Loimaa
02	Varsinais-Suomi	445	Parainen
02	Varsinais-Suomi	480	Marttila
02	Varsinais-Suomi	481	Masku
02	Varsinais-Suomi	503	Mynämäki
02	Varsinais-Suomi	529	Naantali
02	Varsinais-Suomi	538	Nousiainen
02	Varsinais-Suomi	561	Oripää
02	Varsinais-Suomi	577	Paimio
02	Varsinais-Suomi	631	Pyhäranta
02	Varsinais-Suomi	636	Pöytyä
02	Varsinais-Suomi	680	Raisio
02	Varsinais-Suomi	704	Rusko
02	Varsinais-Suomi	734	Salo
02	Varsinais-Suomi	738	Sauvo
02	Varsinais-Suomi	761	Somero
02	Varsinais-Suomi	833	Taivassalo
02	Varsinais-Suomi	838	Tarvasjoki
02	Varsinais-Suomi	853	Turku
02	Varsinais-Suomi	895	Uusikaupunki
02	Varsinais-Suomi	918	Vehmaa
04	Satakunta	050	Eura
04	Satakunta	051	Eurajoki
04	Satakunta	079	Harjavalta
04	Satakunta	099	Honkajoki
04	Satakunta	102	Huittinen
04	Satakunta	181	Jämijärvi
04	Satakunta	214	Kankaanpää
04	Satakunta	230	Karvia
04	Satakunta	271	Kokemäki
04	Satakunta	319	Köyliö
04	Satakunta	413	Lavia
04	Satakunta	442	Luvia
04	Satakunta	484	Merikarvia
04	Satakunta	531	Nakkila
04	Satakunta	608	Pomarkku
04	Satakunta	609	Pori
04	Satakunta	684	Rauma
04	Satakunta	747	Siikainen
04	Satakunta	783	Säkylä
04	Satakunta	886	Ulvila
05	Kanta-Häme	061	Forssa
05	Kanta-Häme	082	Hattula
05	Kanta-Häme	086	Hausjärvi
05	Kanta-Häme	103	Humppila
